date,district,service_type,day_of_week,is_weekend,month,quarter,festival_period,available_workers,demand,lag_1d_demand,lag_7d_demand,lag_14d_demand,rolling_7d_demand,rolling_30d_demand,service_demand_index
2024-01-31,Chengalpattu,Appliance Repair,2,0,1,1,0,22,4,4,4,4,6.86,6.83,0.992
2024-02-01,Chengalpattu,Appliance Repair,3,0,2,1,0,17,6,4,5,7,6.86,6.8,0.964
2024-02-02,Chengalpattu,Appliance Repair,4,0,2,1,0,20,8,6,8,8,7.0,6.87,0.964
2024-02-03,Chengalpattu,Appliance Repair,5,1,2,1,0,22,8,8,12,11,7.0,6.87,0.964
2024-02-04,Chengalpattu,Appliance Repair,6,1,2,1,0,16,8,8,9,12,6.43,7.0,0.964
2024-02-05,Chengalpattu,Appliance Repair,0,0,2,1,0,19,3,8,6,5,6.29,7.1,0.964
2024-02-06,Chengalpattu,Appliance Repair,1,0,2,1,0,23,2,3,4,9,5.86,6.93,0.964
2024-02-07,Chengalpattu,Appliance Repair,2,0,2,1,0,23,8,2,4,4,5.57,6.73,0.964
2024-02-08,Chengalpattu,Appliance Repair,3,0,2,1,0,21,7,8,6,5,6.14,6.97,0.964
2024-02-09,Chengalpattu,Appliance Repair,4,0,2,1,0,23,9,7,8,8,6.29,7.0,0.964
2024-02-10,Chengalpattu,Appliance Repair,5,1,2,1,0,20,6,9,8,12,6.43,6.93,0.964
2024-02-11,Chengalpattu,Appliance Repair,6,1,2,1,0,28,14,6,8,9,6.14,6.87,0.964
2024-02-12,Chengalpattu,Appliance Repair,0,0,2,1,0,20,6,14,3,6,7.0,7.23,0.964
2024-02-13,Chengalpattu,Appliance Repair,1,0,2,1,0,22,6,6,2,4,7.43,7.07,0.964
2024-02-14,Chengalpattu,Appliance Repair,2,0,2,1,0,20,9,6,8,4,8.0,7.07,0.964
2024-02-15,Chengalpattu,Appliance Repair,3,0,2,1,0,21,6,9,7,6,8.14,7.13,0.964
2024-02-16,Chengalpattu,Appliance Repair,4,0,2,1,0,19,7,6,9,8,8.0,7.13,0.964
2024-02-17,Chengalpattu,Appliance Repair,5,1,2,1,0,17,10,7,6,8,7.71,7.23,0.964
